Year,district_c,Nationality,Arrivals,Present
2010,1,Austria,20383,39817
2010,1,Benelux countries,6688,13314
2010,1,Germany,66961,154140
2010,1,Italy,113705,251730
2010,1,Other countries,41136,94395
2010,1,Switzerland and Liechtenstein,9854,21453
2010,2,Austria,67149,234229
2010,2,Benelux countries,23589,170486
2010,2,Germany,703240,4328320
2010,2,Italy,247962,923875
2010,2,Other countries,32375,190716
2010,2,Switzerland and Liechtenstein,107821,535341
2010,3,Austria,24924,70880
2010,3,Benelux countries,15315,62947
2010,3,Germany,275990,1311680
2010,3,Italy,189385,824600
2010,3,Other countries,38066,173415
2010,3,Switzerland and Liechtenstein,12361,49915
2010,4,Austria,47606,171109
2010,4,Benelux countries,52901,320849
2010,4,Germany,474843,2651762
2010,4,Italy,906540,4865912
2010,4,Other countries,133578,707675
2010,4,Switzerland and Liechtenstein,21834,93910
2010,5,Austria,24069,98013
2010,5,Benelux countries,34491,218582
2010,5,Germany,309349,1852107
2010,5,Italy,410753,2239513
2010,5,Other countries,90091,546055
2010,5,Switzerland and Liechtenstein,19797,96700
2010,6,Austria,40046,125532
2010,6,Benelux countries,12077,62762
2010,6,Germany,254423,1234115
2010,6,Italy,87364,306895
2010,6,Other countries,23751,138489
2010,6,Switzerland and Liechtenstein,26377,117928
2010,7,Austria,18503,56064
2010,7,Benelux countries,19579,117545
2010,7,Germany,211594,1100720
2010,7,Italy,126352,543642
2010,7,Other countries,25914,135225
2010,7,Switzerland and Liechtenstein,32874,128522
2010,8,Austria,9624,25685
2010,8,Benelux countries,8618,36621
2010,8,Germany,140188,564907
2010,8,Italy,121605,507613
2010,8,Other countries,13016,47278
2010,8,Switzerland and Liechtenstein,4521,17508
2011,1,Austria,21684,44381
2011,1,Benelux countries,7279,14368
2011,1,Germany,70743,161541
2011,1,Italy,112184,243007
2011,1,Other countries,43741,102015
2011,1,Switzerland and Liechtenstein,10782,22872
2011,2,Austria,65123,232018
2011,2,Benelux countries,25063,174001
2011,2,Germany,734370,4486287
2011,2,Italy,238893,850731
2011,2,Other countries,35414,198723
2011,2,Switzerland and Liechtenstein,118827,604031
2011,3,Austria,26871,77147
2011,3,Benelux countries,15565,64390
2011,3,Germany,286694,1345743
2011,3,Italy,186377,798796
2011,3,Other countries,38096,180420
2011,3,Switzerland and Liechtenstein,12983,52897
2011,4,Austria,45379,162139
2011,4,Benelux countries,52620,311105
2011,4,Germany,486146,2661507
2011,4,Italy,904645,4760470
2011,4,Other countries,141970,748585
2011,4,Switzerland and Liechtenstein,24495,106247
2011,5,Austria,24731,99524
2011,5,Benelux countries,35051,217217
2011,5,Germany,320640,1891990
2011,5,Italy,413332,2181183
2011,5,Other countries,95891,576933
2011,5,Switzerland and Liechtenstein,22499,110526
2011,6,Austria,42053,133294
2011,6,Benelux countries,13437,72113
2011,6,Germany,264284,1273505
2011,6,Italy,90512,318306
2011,6,Other countries,22158,118544
2011,6,Switzerland and Liechtenstein,27944,126159
2011,7,Austria,19561,58644
2011,7,Benelux countries,21476,126412
2011,7,Germany,230029,1146842
2011,7,Italy,130769,536299
2011,7,Other countries,26390,137315
2011,7,Switzerland and Liechtenstein,39658,151190
2011,8,Austria,10599,29023
2011,8,Benelux countries,9428,34387
2011,8,Germany,147686,573051
2011,8,Italy,121820,495052
2011,8,Other countries,14366,54786
2011,8,Switzerland and Liechtenstein,4300,16093
2012,1,Austria,20438,41826
2012,1,Benelux countries,6839,14786
2012,1,Germany,70532,163224
2012,1,Italy,111245,224561
2012,1,Other countries,45459,100159
2012,1,Switzerland and Liechtenstein,10554,22888
2012,2,Austria,68198,232930
2012,2,Benelux countries,26084,173141
2012,2,Germany,752532,4558709
2012,2,Italy,226930,768717
2012,2,Other countries,37339,204181
2012,2,Switzerland and Liechtenstein,130254,656763
2012,3,Austria,28404,80048
2012,3,Benelux countries,16774,69744
2012,3,Germany,306130,1437840
2012,3,Italy,186558,770412
2012,3,Other countries,40421,185048
2012,3,Switzerland and Liechtenstein,15275,65253
2012,4,Austria,48624,168829
2012,4,Benelux countries,53885,321888
2012,4,Germany,525626,2856027
2012,4,Italy,901046,4625824
2012,4,Other countries,150560,781528
2012,4,Switzerland and Liechtenstein,29699,130320
2012,5,Austria,27741,108841
2012,5,Benelux countries,36604,228034
2012,5,Germany,354028,2065408
2012,5,Italy,410722,2082403
2012,5,Other countries,102366,605779
2012,5,Switzerland and Liechtenstein,28263,134922
2012,6,Austria,42086,125550
2012,6,Benelux countries,13940,71269
2012,6,Germany,268207,1302418
2012,6,Italy,93864,337273
2012,6,Other countries,24871,122380
2012,6,Switzerland and Liechtenstein,30673,136909
2012,7,Austria,19791,59418
2012,7,Benelux countries,22909,128260
2012,7,Germany,241882,1205942
2012,7,Italy,125901,509973
2012,7,Other countries,28327,139816
2012,7,Switzerland and Liechtenstein,42817,164215
2012,8,Austria,10694,28346
2012,8,Benelux countries,11035,38311
2012,8,Germany,156810,600167
2012,8,Italy,121546,485062
2012,8,Other countries,15147,54488
2012,8,Switzerland and Liechtenstein,5488,19754
2013,1,Austria,21789,43333
2013,1,Benelux countries,6809,14047
2013,1,Germany,74860,166941
2013,1,Italy,109210,209956
2013,1,Other countries,49004,104762
2013,1,Switzerland and Liechtenstein,11427,24901
2013,2,Austria,70163,233825
2013,2,Benelux countries,26330,176348
2013,2,Germany,756772,4534425
2013,2,Italy,218763,714219
2013,2,Other countries,39067,207235
2013,2,Switzerland and Liechtenstein,136641,670942
2013,3,Austria,30554,82156
2013,3,Benelux countries,16525,67856
2013,3,Germany,313117,1460362
2013,3,Italy,180787,734072
2013,3,Other countries,41418,188880
2013,3,Switzerland and Liechtenstein,16150,68021
2013,4,Austria,48953,168130
2013,4,Benelux countries,51911,300237
2013,4,Germany,524935,2858163
2013,4,Italy,888890,4501899
2013,4,Other countries,158557,814149
2013,4,Switzerland and Liechtenstein,29659,128852
2013,5,Austria,29019,110487
2013,5,Benelux countries,36410,223600
2013,5,Germany,360612,2086889
2013,5,Italy,390117,1958761
2013,5,Other countries,107273,634818
2013,5,Switzerland and Liechtenstein,29324,141441
2013,6,Austria,39438,117363
2013,6,Benelux countries,13578,65335
2013,6,Germany,269333,1301204
2013,6,Italy,84169,285772
2013,6,Other countries,25134,111159
2013,6,Switzerland and Liechtenstein,30274,136312
2013,7,Austria,19294,58732
2013,7,Benelux countries,22751,126704
2013,7,Germany,241156,1176416
2013,7,Italy,116979,474009
2013,7,Other countries,29922,140766
2013,7,Switzerland and Liechtenstein,43952,168256
2013,8,Austria,12484,32442
2013,8,Benelux countries,12515,39650
2013,8,Germany,162017,617466
2013,8,Italy,120972,469455
2013,8,Other countries,17192,54625
2013,8,Switzerland and Liechtenstein,5403,20243
2014,1,Austria,23196,44296
2014,1,Benelux countries,7662,15713
2014,1,Germany,79377,167452
2014,1,Italy,111070,195830
2014,1,Other countries,52464,114084
2014,1,Switzerland and Liechtenstein,11329,26222
2014,2,Austria,72648,234897
2014,2,Benelux countries,25836,162239
2014,2,Germany,746957,4372204
2014,2,Italy,229092,671733
2014,2,Other countries,41839,189010
2014,2,Switzerland and Liechtenstein,137540,639953
2014,3,Austria,30125,79687
2014,3,Benelux countries,17445,71433
2014,3,Germany,326106,1515701
2014,3,Italy,177440,659069
2014,3,Other countries,43304,174667
2014,3,Switzerland and Liechtenstein,16621,70844
2014,4,Austria,56177,192591
2014,4,Benelux countries,49450,279674
2014,4,Germany,553272,2889327
2014,4,Italy,863268,4245939
2014,4,Other countries,168114,842440
2014,4,Switzerland and Liechtenstein,31279,136584
2014,5,Austria,31997,118184
2014,5,Benelux countries,37881,227277
2014,5,Germany,379584,2132174
2014,5,Italy,380586,1845979
2014,5,Other countries,116633,677454
2014,5,Switzerland and Liechtenstein,30890,147212
2014,6,Austria,40582,118273
2014,6,Benelux countries,13201,62312
2014,6,Germany,266935,1276724
2014,6,Italy,89470,263322
2014,6,Other countries,24305,107649
2014,6,Switzerland and Liechtenstein,30913,137347
2014,7,Austria,19618,57605
2014,7,Benelux countries,22854,126216
2014,7,Germany,246807,1182476
2014,7,Italy,112764,427805
2014,7,Other countries,31946,150206
2014,7,Switzerland and Liechtenstein,44351,166584
2014,8,Austria,11447,29562
2014,8,Benelux countries,12576,37800
2014,8,Germany,172138,609050
2014,8,Italy,127184,468338
2014,8,Other countries,19657,53434
2014,8,Switzerland and Liechtenstein,6159,23317
2015,1,Austria,23753,46147
2015,1,Benelux countries,7171,13543
2015,1,Germany,83238,184120
2015,1,Italy,115945,211589
2015,1,Other countries,50933,107165
2015,1,Switzerland and Liechtenstein,11345,23987
2015,2,Austria,79115,250205
2015,2,Benelux countries,26225,158873
2015,2,Germany,783492,4506914
2015,2,Italy,250031,733784
2015,2,Other countries,44532,192782
2015,2,Switzerland and Liechtenstein,150251,696180
2015,3,Austria,31592,81091
2015,3,Benelux countries,17388,69965
2015,3,Germany,329709,1516359
2015,3,Italy,197290,718252
2015,3,Other countries,44933,169618
2015,3,Switzerland and Liechtenstein,18195,77249
2015,4,Austria,56519,190122
2015,4,Benelux countries,52743,296046
2015,4,Germany,557853,2955442
2015,4,Italy,973033,4553544
2015,4,Other countries,181007,874093
2015,4,Switzerland and Liechtenstein,34311,150503
2015,5,Austria,31466,116115
2015,5,Benelux countries,40631,244815
2015,5,Germany,378090,2127534
2015,5,Italy,413787,1947243
2015,5,Other countries,120943,674399
2015,5,Switzerland and Liechtenstein,32616,156025
2015,6,Austria,43686,122259
2015,6,Benelux countries,12994,56841
2015,6,Germany,272631,1282568
2015,6,Italy,96128,288043
2015,6,Other countries,25981,104851
2015,6,Switzerland and Liechtenstein,31830,139112
2015,7,Austria,21362,62046
2015,7,Benelux countries,22439,120168
2015,7,Germany,252709,1190165
2015,7,Italy,122378,455770
2015,7,Other countries,36718,165384
2015,7,Switzerland and Liechtenstein,49072,183356
2015,8,Austria,12868,33512
2015,8,Benelux countries,13309,37401
2015,8,Germany,174626,615192
2015,8,Italy,139449,486513
2015,8,Other countries,22161,60541
2015,8,Switzerland and Liechtenstein,7471,27819
2016,1,Austria,25322,48736
2016,1,Benelux countries,7554,15570
2016,1,Germany,88586,197853
2016,1,Italy,124741,230376
2016,1,Other countries,55436,119034
2016,1,Switzerland and Liechtenstein,12677,27221
2016,2,Austria,87125,281560
2016,2,Benelux countries,28021,167516
2016,2,Germany,855666,4834664
2016,2,Italy,263648,762576
2016,2,Other countries,46694,197227
2016,2,Switzerland and Liechtenstein,164858,768090
2016,3,Austria,34460,87936
2016,3,Benelux countries,18543,71190
2016,3,Germany,361002,1631325
2016,3,Italy,207355,745208
2016,3,Other countries,52642,192212
2016,3,Switzerland and Liechtenstein,20759,88769
2016,4,Austria,60369,201113
2016,4,Benelux countries,54962,297634
2016,4,Germany,603853,3124423
2016,4,Italy,1032633,4767977
2016,4,Other countries,205588,963892
2016,4,Switzerland and Liechtenstein,39023,171437
2016,5,Austria,34333,123541
2016,5,Benelux countries,42848,251016
2016,5,Germany,413514,2283030
2016,5,Italy,443996,2059889
2016,5,Other countries,131696,699357
2016,5,Switzerland and Liechtenstein,35166,170194
2016,6,Austria,45201,129393
2016,6,Benelux countries,14719,61403
2016,6,Germany,300128,1387344
2016,6,Italy,101358,309603
2016,6,Other countries,28894,112816
2016,6,Switzerland and Liechtenstein,34049,148118
2016,7,Austria,24341,69455
2016,7,Benelux countries,25424,129717
2016,7,Germany,277514,1279226
2016,7,Italy,125802,464950
2016,7,Other countries,36293,163896
2016,7,Switzerland and Liechtenstein,50296,185880
2016,8,Austria,14293,35606
2016,8,Benelux countries,14518,39281
2016,8,Germany,184050,650847
2016,8,Italy,141568,505849
2016,8,Other countries,22123,64885
2016,8,Switzerland and Liechtenstein,8423,33760
2017,1,Austria,24625,50538
2017,1,Benelux countries,7389,14634
2017,1,Germany,93180,212728
2017,1,Italy,126377,236855
2017,1,Other countries,56912,122038
2017,1,Switzerland and Liechtenstein,12690,28084
2017,2,Austria,95259,302376
2017,2,Benelux countries,28866,165256
2017,2,Germany,898695,5000926
2017,2,Italy,273159,798508
2017,2,Other countries,48148,197841
2017,2,Switzerland and Liechtenstein,160799,741430
2017,3,Austria,37568,97946
2017,3,Benelux countries,19225,75753
2017,3,Germany,377482,1682650
2017,3,Italy,218945,791271
2017,3,Other countries,55727,204772
2017,3,Switzerland and Liechtenstein,22273,95168
2017,4,Austria,64094,210713
2017,4,Benelux countries,58160,316146
2017,4,Germany,608913,3134910
2017,4,Italy,1101135,5009684
2017,4,Other countries,226858,1045646
2017,4,Switzerland and Liechtenstein,41599,183781
2017,5,Austria,34297,120372
2017,5,Benelux countries,44377,260370
2017,5,Germany,415339,2292425
2017,5,Italy,457827,2116103
2017,5,Other countries,142995,737558
2017,5,Switzerland and Liechtenstein,36222,173468
2017,6,Austria,48195,137509
2017,6,Benelux countries,15840,65224
2017,6,Germany,318043,1466709
2017,6,Italy,106025,334338
2017,6,Other countries,30927,117648
2017,6,Switzerland and Liechtenstein,32609,142316
2017,7,Austria,25531,71794
2017,7,Benelux countries,25631,129772
2017,7,Germany,289993,1346157
2017,7,Italy,127127,465008
2017,7,Other countries,39200,173749
2017,7,Switzerland and Liechtenstein,52667,197660
2017,8,Austria,15210,41377
2017,8,Benelux countries,13582,35890
2017,8,Germany,188322,644081
2017,8,Italy,152555,548589
2017,8,Other countries,22792,67611
2017,8,Switzerland and Liechtenstein,8980,34721
2018,1,Austria,26966,52499
2018,1,Benelux countries,6972,13759
2018,1,Germany,91061,203536
2018,1,Italy,136163,259863
2018,1,Other countries,64707,138312
2018,1,Switzerland and Liechtenstein,12006,25442
2018,2,Austria,97390,307734
2018,2,Benelux countries,29506,164075
2018,2,Germany,902129,5004956
2018,2,Italy,278423,816397
2018,2,Other countries,54102,212476
2018,2,Switzerland and Liechtenstein,157564,723178
2018,3,Austria,36656,94145
2018,3,Benelux countries,19026,76540
2018,3,Germany,392199,1755954
2018,3,Italy,221886,783932
2018,3,Other countries,60176,224797
2018,3,Switzerland and Liechtenstein,22969,95644
2018,4,Austria,72371,235070
2018,4,Benelux countries,59545,325037
2018,4,Germany,649001,3345480
2018,4,Italy,1095133,5005149
2018,4,Other countries,257676,1164133
2018,4,Switzerland and Liechtenstein,45110,197023
2018,5,Austria,37112,130111
2018,5,Benelux countries,49937,290782
2018,5,Germany,433791,2398285
2018,5,Italy,459293,2122948
2018,5,Other countries,159673,797244
2018,5,Switzerland and Liechtenstein,37300,178804
2018,6,Austria,48866,140259
2018,6,Benelux countries,14001,59596
2018,6,Germany,319435,1488493
2018,6,Italy,110346,342553
2018,6,Other countries,34016,130122
2018,6,Switzerland and Liechtenstein,34063,148006
2018,7,Austria,27769,76029
2018,7,Benelux countries,25182,122725
2018,7,Germany,295477,1364787
2018,7,Italy,128130,473511
2018,7,Other countries,40117,178551
2018,7,Switzerland and Liechtenstein,54264,200335
2018,8,Austria,16215,42341
2018,8,Benelux countries,13700,36837
2018,8,Germany,205947,707731
2018,8,Italy,153041,559370
2018,8,Other countries,22960,73160
2018,8,Switzerland and Liechtenstein,10414,41559
2019,1,Austria,27013,52234
2019,1,Benelux countries,7320,14388
2019,1,Germany,93151,209294
2019,1,Italy,133168,275245
2019,1,Other countries,70597,142762
2019,1,Switzerland and Liechtenstein,12528,26540
2019,2,Austria,98532,305650
2019,2,Benelux countries,30574,165814
2019,2,Germany,925816,5048898
2019,2,Italy,279902,810668
2019,2,Other countries,59390,222043
2019,2,Switzerland and Liechtenstein,154779,706467
2019,3,Austria,40527,106626
2019,3,Benelux countries,20535,84291
2019,3,Germany,394491,1758983
2019,3,Italy,224579,776857
2019,3,Other countries,71550,245366
2019,3,Switzerland and Liechtenstein,23167,96427
2019,4,Austria,77610,252463
2019,4,Benelux countries,64017,342264
2019,4,Germany,665838,3410707
2019,4,Italy,1098285,4926249
2019,4,Other countries,292510,1286196
2019,4,Switzerland and Liechtenstein,48850,213559
2019,5,Austria,39170,137440
2019,5,Benelux countries,50229,288242
2019,5,Germany,435427,2383621
2019,5,Italy,455565,2080694
2019,5,Other countries,184768,876999
2019,5,Switzerland and Liechtenstein,38314,183866
2019,6,Austria,51398,147258
2019,6,Benelux countries,14249,59506
2019,6,Germany,321951,1495397
2019,6,Italy,110727,333886
2019,6,Other countries,35636,125827
2019,6,Switzerland and Liechtenstein,33689,146729
2019,7,Austria,27955,76543
2019,7,Benelux countries,25914,125100
2019,7,Germany,305905,1401303
2019,7,Italy,130511,488693
2019,7,Other countries,43480,192934
2019,7,Switzerland and Liechtenstein,56317,207448
2019,8,Austria,17075,43981
2019,8,Benelux countries,12502,36161
2019,8,Germany,215141,718433
2019,8,Italy,148457,532331
2019,8,Other countries,23875,76556
2019,8,Switzerland and Liechtenstein,11328,45615
2020,1,Austria,8154,15108
2020,1,Benelux countries,3817,7681
2020,1,Germany,41502,97461
2020,1,Italy,72013,189584
2020,1,Other countries,14693,34400
2020,1,Switzerland and Liechtenstein,5216,11279
2020,2,Austria,39491,127438
2020,2,Benelux countries,16458,88023
2020,2,Germany,458296,2562077
2020,2,Italy,194703,686352
2020,2,Other countries,18006,81662
2020,2,Switzerland and Liechtenstein,80867,378421
2020,3,Austria,15660,43910
2020,3,Benelux countries,12466,51529
2020,3,Germany,206166,984228
2020,3,Italy,178860,692192
2020,3,Other countries,27158,119159
2020,3,Switzerland and Liechtenstein,14150,65074
2020,4,Austria,40377,142330
2020,4,Benelux countries,39060,196243
2020,4,Germany,379600,2028625
2020,4,Italy,891765,4293017
2020,4,Other countries,140336,755445
2020,4,Switzerland and Liechtenstein,28460,132075
2020,5,Austria,17818,66978
2020,5,Benelux countries,33783,193204
2020,5,Germany,251199,1413735
2020,5,Italy,384553,1859793
2020,5,Other countries,81699,483388
2020,5,Switzerland and Liechtenstein,23165,114796
2020,6,Austria,18785,57406
2020,6,Benelux countries,6690,27416
2020,6,Germany,159006,790580
2020,6,Italy,69830,260178
2020,6,Other countries,10172,56498
2020,6,Switzerland and Liechtenstein,16474,75047
2020,7,Austria,13756,40485
2020,7,Benelux countries,12878,66202
2020,7,Germany,170061,796957
2020,7,Italy,123716,490950
2020,7,Other countries,19209,104491
2020,7,Switzerland and Liechtenstein,34015,131396
2020,8,Austria,7947,20096
2020,8,Benelux countries,7429,20767
2020,8,Germany,117061,401457
2020,8,Italy,102044,395669
2020,8,Other countries,10258,42478
2020,8,Switzerland and Liechtenstein,6827,30622
