istat_code,muni_ge,muni_it,district
21006,Abtei,Badia,Pustertal
21108,Ahrntal,Valle Aurina,Pustertal
21001,Aldein,Aldino,Uberetsch-Unterland
21038,Algund,Lagundo,Burggrafenamt
21003,Altrei,Anterivo,Uberetsch-Unterland
21002,Andrian,Andriano,Uberetsch-Unterland
21060,Auer,Ora,Uberetsch-Unterland
21007,Barbian,Barbiano,Eisacktal
21008,Bozen,Bolzano,Bozen
21012,Branzoll,Bronzolo,Uberetsch-Unterland
21010,Brenner,Brennero,Wipptal
21011,Brixen,Bressanone,Eisacktal
21013,Bruneck,Brunico,Pustertal
21066,Burgstall,Postal,Burggrafenamt
21026,Corvara,Corvara in Badia,Pustertal
21059,Deutschnofen,Nova Ponente,Salten-Schlern
21047,Enneberg,Marebbe,Pustertal
21004,Eppan an der Weinstrasse,Appiano sulla strada del vino,Uberetsch-Unterland
21116,Feldthurns,Velturno,Eisacktal
21032,Franzensfeste,Fortezza,Wipptal
21016,Freienfeld,Campo di Trens,Wipptal
21034,Gais,Gais,Pustertal
21035,Gargazon,Gargazzone,Burggrafenamt
21036,Glurns,Glorenza,Vinschgau
21027,Graun im Vinschgau,Curon Venosta,Vinschgau
21109,Gsies,Valle di Casies,Pustertal
21005,Hafling,Avelengo,Burggrafenamt
21077,Innichen,S. Candido,Pustertal
21079,Jenesien,S. Genesio Atesino,Salten-Schlern
21015,Kaltern,Caldaro,Uberetsch-Unterland
21023,Kardaun (Fraktion von Karneid),Kardaun (Frazione di Cornedo),Salten-Schlern
21023,Karneid,Cornedo all'Isarco,Salten-Schlern
21018,Kastelbell -Tschars,Castelbello - Ciardes,Vinschgau
21019,Kastelruth,Castelrotto,Salten-Schlern
21021,Kiens,Chienes,Pustertal
21022,Klausen,Chiusa,Eisacktal
21014,Kuens,Caines,Burggrafenamt
21024,Kurtatsch an der Weinstrasse,Cortaccia sulla strada del vino,Uberetsch-Unterland
21025,Kurtinig an der Weinstrasse,Cortina sulla strada del vino,Uberetsch-Unterland
21042,Laas,Lasa,Vinschgau
21039,Lajen,Laion,Eisacktal
21041,Lana,Lana,Burggrafenamt
21037,Latsch,Laces,Vinschgau
21043,Laurein,Lauregno,Burggrafenamt
21040,Leifers,Laives,Uberetsch-Unterland
21044,Lüsen,Luson,Eisacktal
21046,Mals,Malles Venosta,Vinschgau
21045,Margreid an der Weinstrasse,Magrè sulla strada del vino,Uberetsch-Unterland
21048,Marling,Marlengo,Burggrafenamt
21049,Martell,Martello,Vinschgau
21051,Meran,Merano,Burggrafenamt
21050,Mölten,Meltina,Salten-Schlern
21053,Montan,Montagna,Uberetsch-Unterland
21054,Moos in Passeier,Moso in Passiria,Burggrafenamt
21074,Mühlbach,Rio Pusteria,Eisacktal
21088,Mühlwald,Selva dei Molini,Pustertal
21055,Nals,Nalles,Burggrafenamt
21056,Naturns,Naturno,Burggrafenamt
21057,Natz-Schabs,Naz-Sciaves,Eisacktal
21029,Neumarkt,Egna,Uberetsch-Unterland
21113,Niederdorf,Villabassa,Pustertal
21106,Olang,Valdaora,Pustertal
21062,Partschins,Parcines,Burggrafenamt
21063,Percha,Perca,Pustertal
21030,Pfalzen,Falzes,Pustertal
21105,Pfatten,Vadena,Uberetsch-Unterland
21107,Pfitsch,Val di Vizze,Wipptal
21064,Plaus,Plaus,Burggrafenamt
21067,Prad am Stilfserjoch,Prato allo Stelvio,Vinschgau
21009,Prags,Braies,Pustertal
21068,Prettau,Predoi,Pustertal
21069,Proveis,Proves,Burggrafenamt
21071,Rasen-Antholz,Rasun-Anterselva,Pustertal
21070,Ratschings,Racines,Wipptal
21073,Riffian,Rifiano,Burggrafenamt
21072,Ritten,Renon,Salten-Schlern
21075,Rodeneck,Rodengo,Eisacktal
21076,Salurn,Salorno,Uberetsch-Unterland
21017,Sand in Taufers,Campo Tures,Pustertal
21086,Sarntal,Sarentino,Salten-Schlern
21087,Schenna,Scena,Burggrafenamt
21093,Schlanders,Silandro,Vinschgau
21094,Schluderns,Sluderno,Vinschgau
21091,Schnals,Senales,Vinschgau
21019,Seis,Siusi,Salten-Schlern
21092,Sexten,Sesto,Pustertal
21085,St. Christina in Gröden,S. Cristina Valgardena,Salten-Schlern
21080,St. Leonhard in Passeier,S. Leonardo in Passiria,Burggrafenamt
21081,St. Lorenzen,S. Lorenzo di Sebato,Pustertal
21083,St. Martin in Passeier,S. Martino in Passiria,Burggrafenamt
21082,St. Martin in Thurn,S. Martino in Badia,Pustertal
21084,St. Pankraz,S. Pancrazio,Burggrafenamt
21061,St. Ulrich,Ortisei,Salten-Schlern
21115,Sterzing,Vipiteno,Wipptal
21095,Stilfs,Stelvio,Vinschgau
21103,Taufers,Tubre,Vinschgau
21096,Terenten,Terento,Pustertal
21097,Terlan,Terlano,Uberetsch-Unterland
21100,Tiers,Tires,Salten-Schlern
21101,Tirol,Tirolo,Burggrafenamt
21099,Tisens,Tesimo,Burggrafenamt
21028,Toblach,Dobbiaco,Pustertal
21098,Tramin an der Weinstrasse,Termeno sulla strada del vino,Uberetsch-Unterland
21102,Truden,Trodena,Uberetsch-Unterland
21020,Tscherms,Cermes,Burggrafenamt
21104,Ulten,Ultimo,Burggrafenamt
21118,Unsere Liebe Frau im Walde - St. Felix,Senale -S. Felice,Burggrafenamt
21111,Vahrn,Varna,Eisacktal
21114,Villanders,Villandro,Eisacktal
21033,Villnöss,Funes,Eisacktal
21110,Vintl,Vandoies,Pustertal
21031,Völs am Schlern,Fiè allo Sciliar,Salten-Schlern
21112,Vöran,Verano,Burggrafenamt
21065,Waidbruck,Ponte Gardena,Eisacktal
21052,Welsberg,Monguelfo,Pustertal
21058,Welschnofen,Nova Levante,Salten-Schlern
21117,Wengen,La Valle,Pustertal
21089,Wolkenstein in Gröden,Selva di Val Gardena,Salten-Schlern