Year,Month,District,Arrivals,Present
2015,6.0,Valle Isarco,52622,213758
2015,7.0,Alta Valle Isarco,44239,152543
2015,7.0,Bolzano,31871,62644
2015,7.0,Burggrafenamt,158889,895526
2015,7.0,Oltradige-Bassa Ates.,60777,283104
2015,7.0,Salto-Schiliar,123003,691798
2015,7.0,Val Pusteria,258378,1331626
2015,7.0,Val Venosta,70768,294593
2015,7.0,Valle Isarco,75626,352861
2015,8.0,Alta Valle Isarco,51688,210462
2015,8.0,Bolzano,33966,70896
2015,8.0,Burggrafenamt,211525,1139978
2015,8.0,Oltradige-Bassa Ates.,79085,375361
2015,8.0,Salto-Schiliar,159485,936665
2015,8.0,Val Pusteria,312314,1778025
2015,8.0,Val Venosta,91611,409845
2015,8.0,Valle Isarco,97795,476338
2015,9.0,Alta Valle Isarco,34026,105634
2015,9.0,Bolzano,30715,63556
2015,9.0,Burggrafenamt,168609,949735
2015,9.0,Oltradige-Bassa Ates.,66403,300849
2015,9.0,Salto-Schiliar,89231,474252
2015,9.0,Val Pusteria,142450,684797
2015,9.0,Val Venosta,54037,228640
2015,9.0,Valle Isarco,66801,296516
2015,10.0,Alta Valle Isarco,25762,75119
2015,10.0,Bolzano,26244,55335
2015,10.0,Burggrafenamt,150688,742825
2015,10.0,Oltradige-Bassa Ates.,51252,199755
2015,10.0,Salto-Schiliar,49959,209527
2015,10.0,Val Pusteria,64339,241344
2015,10.0,Val Venosta,34462,136655
2015,10.0,Valle Isarco,58190,205483
2015,11.0,Alta Valle Isarco,15344,38621
2015,11.0,Bolzano,19926,37404
2015,11.0,Burggrafenamt,53566,182710
2015,11.0,Oltradige-Bassa Ates.,16645,52547
2015,11.0,Salto-Schiliar,15986,46977
2015,11.0,Val Pusteria,22697,61760
2015,11.0,Val Venosta,14991,52152
2015,11.0,Valle Isarco,20823,55454
2015,12.0,Alta Valle Isarco,36865,113521
2015,12.0,Bolzano,29601,57493
2015,12.0,Burggrafenamt,81448,232398
2015,12.0,Oltradige-Bassa Ates.,26880,67984
2015,12.0,Salto-Schiliar,101009,412847
2015,12.0,Val Pusteria,198214,784039
2015,12.0,Val Venosta,30137,125062
2015,12.0,Valle Isarco,57131,179956
2016,1.0,Alta Valle Isarco,34286,129356
2016,1.0,Bolzano,17375,34043
2016,1.0,Burggrafenamt,35021,145139
2016,1.0,Oltradige-Bassa Ates.,11612,46101
2016,1.0,Salto-Schiliar,126896,657935
2016,1.0,Val Pusteria,250672,1210602
2016,1.0,Val Venosta,33189,157601
2016,1.0,Valle Isarco,52973,223673
2016,2.0,Alta Valle Isarco,36050,144166
2016,2.0,Bolzano,15611,26947
2016,2.0,Burggrafenamt,28034,111210
2016,2.0,Oltradige-Bassa Ates.,9389,38337
2016,2.0,Salto-Schiliar,134645,753978
2016,2.0,Val Pusteria,248409,1302544
2016,2.0,Val Venosta,39780,208958
2016,2.0,Valle Isarco,58916,261663
2016,3.0,Alta Valle Isarco,34135,130476
2016,3.0,Bolzano,20169,39895
2016,3.0,Burggrafenamt,73830,304753
2016,3.0,Oltradige-Bassa Ates.,23516,89238
2016,3.0,Salto-Schiliar,121177,678644
2016,3.0,Val Pusteria,211833,1090239
2016,3.0,Val Venosta,44988,232891
2016,3.0,Valle Isarco,50377,210936
2016,4.0,Alta Valle Isarco,14102,35985
2016,4.0,Bolzano,21049,42214
2016,4.0,Burggrafenamt,103134,449141
2016,4.0,Oltradige-Bassa Ates.,32892,116977
2016,4.0,Salto-Schiliar,11798,48866
2016,4.0,Val Pusteria,25299,96792
2016,4.0,Val Venosta,24927,98090
2016,4.0,Valle Isarco,22937,67140
2016,5.0,Alta Valle Isarco,25849,70443
2016,5.0,Bolzano,28108,60742
2016,5.0,Burggrafenamt,171579,830795
2016,5.0,Oltradige-Bassa Ates.,62665,246119
2016,5.0,Salto-Schiliar,44675,167372
2016,5.0,Val Pusteria,59110,208212
2016,5.0,Val Venosta,37525,132072
2016,5.0,Valle Isarco,54279,194505
2016,6.0,Alta Valle Isarco,25375,76837
2016,6.0,Bolzano,26555,54526
2016,6.0,Burggrafenamt,132281,712390
2016,6.0,Oltradige-Bassa Ates.,49829,212341
2016,6.0,Salto-Schiliar,77388,340261
2016,6.0,Val Pusteria,124057,488272
2016,6.0,Val Venosta,40572,144823
2016,6.0,Valle Isarco,56148,219452
2016,7.0,Alta Valle Isarco,48353,162789
2016,7.0,Bolzano,35580,70412
2016,7.0,Burggrafenamt,191757,1000143
2016,7.0,Oltradige-Bassa Ates.,73517,319179
2016,7.0,Salto-Schiliar,144704,761109
2016,7.0,Val Pusteria,284983,1395862
2016,7.0,Val Venosta,79777,321536
2016,7.0,Valle Isarco,89012,388644
2016,8.0,Alta Valle Isarco,50433,220131
2016,8.0,Bolzano,35956,79821
2016,8.0,Burggrafenamt,212889,1210012
2016,8.0,Oltradige-Bassa Ates.,82455,402829
2016,8.0,Salto-Schiliar,159698,990757
2016,8.0,Val Pusteria,309315,1842167
2016,8.0,Val Venosta,91773,429776
2016,8.0,Valle Isarco,97041,489510
2016,9.0,Alta Valle Isarco,35873,113532
2016,9.0,Bolzano,33222,66938
2016,9.0,Burggrafenamt,180766,968922
2016,9.0,Oltradige-Bassa Ates.,71217,309010
2016,9.0,Salto-Schiliar,101932,498247
2016,9.0,Val Pusteria,171144,750947
2016,9.0,Val Venosta,61498,237915
2016,9.0,Valle Isarco,73837,303545
2016,10.0,Alta Valle Isarco,28518,92915
2016,10.0,Bolzano,29232,63661
2016,10.0,Burggrafenamt,181595,865129
2016,10.0,Oltradige-Bassa Ates.,62129,243008
2016,10.0,Salto-Schiliar,61572,256220
2016,10.0,Val Pusteria,83830,312987
2016,10.0,Val Venosta,43888,171543
2016,10.0,Valle Isarco,64591,233725
2016,11.0,Alta Valle Isarco,13327,37946
2016,11.0,Bolzano,21384,40795
2016,11.0,Burggrafenamt,50674,178335
2016,11.0,Oltradige-Bassa Ates.,17244,53394
2016,11.0,Salto-Schiliar,14055,47748
2016,11.0,Val Pusteria,21288,61685
2016,11.0,Val Venosta,12928,47668
2016,11.0,Valle Isarco,18628,51011
2016,12.0,Alta Valle Isarco,38674,115652
2016,12.0,Bolzano,30075,58796
2016,12.0,Burggrafenamt,84452,235664
2016,12.0,Oltradige-Bassa Ates.,27884,72144
2016,12.0,Salto-Schiliar,103013,385890
2016,12.0,Val Pusteria,206488,766167
2016,12.0,Val Venosta,28825,110251
2016,12.0,Valle Isarco,56022,172836
2017,1.0,Alta Valle Isarco,33540,131854
2017,1.0,Bolzano,18000,36117
2017,1.0,Burggrafenamt,36414,153258
2017,1.0,Oltradige-Bassa Ates.,13754,49359
2017,1.0,Salto-Schiliar,116553,656483
2017,1.0,Val Pusteria,238938,1229820
2017,1.0,Val Venosta,30196,162414
2017,1.0,Valle Isarco,51871,225188
2017,2.0,Alta Valle Isarco,37790,142308
2017,2.0,Bolzano,14222,25322
2017,2.0,Burggrafenamt,28441,105619
2017,2.0,Oltradige-Bassa Ates.,10261,40552
2017,2.0,Salto-Schiliar,134236,714881
2017,2.0,Val Pusteria,254886,1253079
2017,2.0,Val Venosta,38474,188183
2017,2.0,Valle Isarco,58951,252403
2017,3.0,Alta Valle Isarco,31088,118177
2017,3.0,Bolzano,17967,33907
2017,3.0,Burggrafenamt,38988,150078
2017,3.0,Oltradige-Bassa Ates.,14497,52624
2017,3.0,Salto-Schiliar,99227,598253
2017,3.0,Val Pusteria,177642,958177
2017,3.0,Val Venosta,36298,188413
2017,3.0,Valle Isarco,43427,187722
2017,4.0,Alta Valle Isarco,24779,76972
2017,4.0,Bolzano,25876,56428
2017,4.0,Burggrafenamt,157024,679794
2017,4.0,Oltradige-Bassa Ates.,53871,196419
2017,4.0,Salto-Schiliar,25623,98492
2017,4.0,Val Pusteria,65929,257435
2017,4.0,Val Venosta,45588,194284
2017,4.0,Valle Isarco,40755,136146
2017,5.0,Alta Valle Isarco,19829,53820
2017,5.0,Bolzano,26322,55945
2017,5.0,Burggrafenamt,132393,654535
2017,5.0,Oltradige-Bassa Ates.,48055,188662
2017,5.0,Salto-Schiliar,35005,122186
2017,5.0,Val Pusteria,48205,155440
2017,5.0,Val Venosta,28537,96794
2017,5.0,Valle Isarco,41862,145776
2017,6.0,Alta Valle Isarco,32906,96654
2017,6.0,Bolzano,31016,64221
2017,6.0,Burggrafenamt,176436,892223
2017,6.0,Oltradige-Bassa Ates.,66996,277704
2017,6.0,Salto-Schiliar,103778,440726
2017,6.0,Val Pusteria,176372,653629
2017,6.0,Val Venosta,57165,199654
2017,6.0,Valle Isarco,71988,282280
2017,7.0,Alta Valle Isarco,49233,161236
2017,7.0,Bolzano,35658,72316
2017,7.0,Burggrafenamt,199617,1027628
2017,7.0,Oltradige-Bassa Ates.,78403,343765
2017,7.0,Salto-Schiliar,152120,795707
2017,7.0,Val Pusteria,302602,1477973
2017,7.0,Val Venosta,83441,335922
2017,7.0,Valle Isarco,95119,403441
2017,8.0,Alta Valle Isarco,51154,217037
2017,8.0,Bolzano,36716,80708
2017,8.0,Burggrafenamt,218496,1215872
2017,8.0,Oltradige-Bassa Ates.,83699,411346
2017,8.0,Salto-Schiliar,165381,1011109
2017,8.0,Val Pusteria,319724,1894663
2017,8.0,Val Venosta,90353,431931
2017,8.0,Valle Isarco,101003,507735
2017,9.0,Alta Valle Isarco,39086,116816
2017,9.0,Bolzano,33243,71074
2017,9.0,Burggrafenamt,192146,989806
2017,9.0,Oltradige-Bassa Ates.,74466,322528
2017,9.0,Salto-Schiliar,105167,514373
2017,9.0,Val Pusteria,174465,770033
2017,9.0,Val Venosta,62266,243815
2017,9.0,Valle Isarco,78691,314841
2017,10.0,Alta Valle Isarco,28991,93281
2017,10.0,Bolzano,30050,66981
2017,10.0,Burggrafenamt,183795,891497
2017,10.0,Oltradige-Bassa Ates.,65078,257463
2017,10.0,Salto-Schiliar,62464,261597
2017,10.0,Val Pusteria,83619,320623
2017,10.0,Val Venosta,43570,173662
2017,10.0,Valle Isarco,67147,249186
2017,11.0,Alta Valle Isarco,13222,38739
2017,11.0,Bolzano,21741,40851
2017,11.0,Burggrafenamt,55478,199262
2017,11.0,Oltradige-Bassa Ates.,15869,54123
2017,11.0,Salto-Schiliar,15219,50938
2017,11.0,Val Pusteria,27875,81623
2017,11.0,Val Venosta,14160,54475
2017,11.0,Valle Isarco,20942,59713
2017,12.0,Alta Valle Isarco,39823,125375
2017,12.0,Bolzano,30362,61007
2017,12.0,Burggrafenamt,85698,246765
2017,12.0,Oltradige-Bassa Ates.,26690,69199
2017,12.0,Salto-Schiliar,116284,435551
2017,12.0,Val Pusteria,230502,848385
2017,12.0,Val Venosta,30101,114593
2017,12.0,Valle Isarco,59464,183129
2018,1.0,Alta Valle Isarco,35927,143188
2018,1.0,Bolzano,19326,38450
2018,1.0,Burggrafenamt,35588,151952
2018,1.0,Oltradige-Bassa Ates.,13523,49980
2018,1.0,Salto-Schiliar,122917,685147
2018,1.0,Val Pusteria,251593,1306329
2018,1.0,Val Venosta,30507,166099
2018,1.0,Valle Isarco,54486,239461
2018,2.0,Alta Valle Isarco,40945,164377
2018,2.0,Bolzano,16133,29150
2018,2.0,Burggrafenamt,34382,133368
2018,2.0,Oltradige-Bassa Ates.,11219,43611
2018,2.0,Salto-Schiliar,146091,792655
2018,2.0,Val Pusteria,275560,1403586
2018,2.0,Val Venosta,42704,214217
2018,2.0,Valle Isarco,66918,287834
2018,3.0,Alta Valle Isarco,37948,137531
2018,3.0,Bolzano,20360,39010
2018,3.0,Burggrafenamt,74684,268648
2018,3.0,Oltradige-Bassa Ates.,24244,83277
2018,3.0,Salto-Schiliar,125456,657550
2018,3.0,Val Pusteria,219732,1044209
2018,3.0,Val Venosta,45547,217651
2018,3.0,Valle Isarco,53464,211780
2018,4.0,Alta Valle Isarco,17223,54514
2018,4.0,Bolzano,24533,53978
2018,4.0,Burggrafenamt,119991,548925
2018,4.0,Oltradige-Bassa Ates.,41183,160480
2018,4.0,Salto-Schiliar,20584,104977
2018,4.0,Val Pusteria,42755,216323
2018,4.0,Val Venosta,30242,131000
2018,4.0,Valle Isarco,28025,93727
2018,5.0,Alta Valle Isarco,26727,75234
2018,5.0,Bolzano,31453,65817
2018,5.0,Burggrafenamt,168181,811871
2018,5.0,Oltradige-Bassa Ates.,66068,258268
2018,5.0,Salto-Schiliar,45469,171189
2018,5.0,Val Pusteria,63985,225314
2018,5.0,Val Venosta,38099,132830
2018,5.0,Valle Isarco,56967,200474
2018,6.0,Alta Valle Isarco,32294,92329
2018,6.0,Bolzano,32625,62360
2018,6.0,Burggrafenamt,156638,794078
2018,6.0,Oltradige-Bassa Ates.,60225,249395
2018,6.0,Salto-Schiliar,98544,411827
2018,6.0,Val Pusteria,171323,628293
2018,6.0,Val Venosta,51750,179486
2018,6.0,Valle Isarco,65787,257046
2018,7.0,Alta Valle Isarco,52436,183790
2018,7.0,Bolzano,36776,76157
2018,7.0,Burggrafenamt,199920,1054299
2018,7.0,Oltradige-Bassa Ates.,77749,358559
2018,7.0,Salto-Schiliar,146758,803823
2018,7.0,Val Pusteria,284673,1467691
2018,7.0,Val Venosta,83715,343756
2018,7.0,Valle Isarco,92529,412360
2018,8.0,Alta Valle Isarco,53226,227384
2018,8.0,Bolzano,38050,81063
2018,8.0,Burggrafenamt,217529,1183031
2018,8.0,Oltradige-Bassa Ates.,83490,405903
2018,8.0,Salto-Schiliar,165424,1000960
2018,8.0,Val Pusteria,323278,1879233
2018,8.0,Val Venosta,91951,425916
2018,8.0,Valle Isarco,103182,505009
2018,9.0,Alta Valle Isarco,42160,122410
2018,9.0,Bolzano,34043,70537
2018,9.0,Burggrafenamt,201819,979634
2018,9.0,Oltradige-Bassa Ates.,76754,321147
2018,9.0,Salto-Schiliar,112960,515500
2018,9.0,Val Pusteria,198104,801419
2018,9.0,Val Venosta,66885,250533
2018,9.0,Valle Isarco,82658,317772
2018,10.0,Alta Valle Isarco,28704,95187
2018,10.0,Bolzano,29618,65496
2018,10.0,Burggrafenamt,166279,859213
2018,10.0,Oltradige-Bassa Ates.,59391,244777
2018,10.0,Salto-Schiliar,61910,271797
2018,10.0,Val Pusteria,87117,333536
2018,10.0,Val Venosta,41326,171268
2018,10.0,Valle Isarco,67307,255264
2018,11.0,Alta Valle Isarco,15731,42484
2018,11.0,Bolzano,23740,46373
2018,11.0,Burggrafenamt,61551,194616
2018,11.0,Oltradige-Bassa Ates.,20302,60579
2018,11.0,Salto-Schiliar,17727,53603
2018,11.0,Val Pusteria,35784,95366
2018,11.0,Val Venosta,16319,56283
2018,11.0,Valle Isarco,24118,63579
2018,12.0,Alta Valle Isarco,38956,122570
2018,12.0,Bolzano,31218,65020
2018,12.0,Burggrafenamt,82552,249181
2018,12.0,Oltradige-Bassa Ates.,26579,73053
2018,12.0,Salto-Schiliar,113266,449146
2018,12.0,Val Pusteria,224932,870593
2018,12.0,Val Venosta,31894,126899
2018,12.0,Valle Isarco,57471,186706
2019,1.0,Alta Valle Isarco,35680,136602
2019,1.0,Bolzano,19439,42465
2019,1.0,Burggrafenamt,33810,147290
2019,1.0,Oltradige-Bassa Ates.,14265,50432
2019,1.0,Salto-Schiliar,117974,679504
2019,1.0,Val Pusteria,239602,1262370
2019,1.0,Val Venosta,29713,166563
2019,1.0,Valle Isarco,52218,232736
2019,2.0,Alta Valle Isarco,37364,144842
2019,2.0,Bolzano,16237,30661
2019,2.0,Burggrafenamt,31479,115121
2019,2.0,Oltradige-Bassa Ates.,11162,40558
2019,2.0,Salto-Schiliar,137303,736757
2019,2.0,Val Pusteria,263083,1314240
2019,2.0,Val Venosta,39743,197522
2019,2.0,Valle Isarco,63211,259814
2019,3.0,Alta Valle Isarco,37238,136826
2019,3.0,Bolzano,21027,41476
2019,3.0,Burggrafenamt,53055,190403
2019,3.0,Oltradige-Bassa Ates.,17370,59729
2019,3.0,Salto-Schiliar,120108,632148
2019,3.0,Val Pusteria,214273,1044734
2019,3.0,Val Venosta,47258,213285
2019,3.0,Valle Isarco,51150,205846
2019,4.0,Alta Valle Isarco,23475,71787
2019,4.0,Bolzano,25521,58638
2019,4.0,Burggrafenamt,145348,645008
2019,4.0,Oltradige-Bassa Ates.,49769,186917
2019,4.0,Salto-Schiliar,24447,93446
2019,4.0,Val Pusteria,64975,254533
2019,4.0,Val Venosta,41061,182814
2019,4.0,Valle Isarco,36133,122505
2019,5.0,Alta Valle Isarco,19258,49137
2019,5.0,Bolzano,29048,60860
2019,5.0,Burggrafenamt,139509,664028
2019,5.0,Oltradige-Bassa Ates.,54624,202767
2019,5.0,Salto-Schiliar,34366,117969
2019,5.0,Val Pusteria,55272,162493
2019,5.0,Val Venosta,28830,96857
2019,5.0,Valle Isarco,46954,151244
2019,6.0,Alta Valle Isarco,37032,107643
2019,6.0,Bolzano,32181,69291
2019,6.0,Burggrafenamt,185922,909655
2019,6.0,Oltradige-Bassa Ates.,71639,292488
2019,6.0,Salto-Schiliar,115923,470773
2019,6.0,Val Pusteria,189821,713367
2019,6.0,Val Venosta,58697,206305
2019,6.0,Valle Isarco,75930,292342
2019,7.0,Alta Valle Isarco,52266,180921
2019,7.0,Bolzano,37073,76107
2019,7.0,Burggrafenamt,197912,1039641
2019,7.0,Oltradige-Bassa Ates.,76249,352650
2019,7.0,Salto-Schiliar,152368,823813
2019,7.0,Val Pusteria,299819,1520547
2019,7.0,Val Venosta,84878,353303
2019,7.0,Valle Isarco,96872,424025
2019,8.0,Alta Valle Isarco,57493,230386
2019,8.0,Bolzano,39332,83925
2019,8.0,Burggrafenamt,234027,1196479
2019,8.0,Oltradige-Bassa Ates.,87734,409711
2019,8.0,Salto-Schiliar,173756,1006583
2019,8.0,Val Pusteria,341051,1895403
2019,8.0,Val Venosta,98154,440629
2019,8.0,Valle Isarco,109078,515287
2019,9.0,Alta Valle Isarco,41927,126078
2019,9.0,Bolzano,36281,74359
2019,9.0,Burggrafenamt,199616,1001419
2019,9.0,Oltradige-Bassa Ates.,76732,326867
2019,9.0,Salto-Schiliar,114390,536102
2019,9.0,Val Pusteria,202260,850635
2019,9.0,Val Venosta,68377,262708
2019,9.0,Valle Isarco,83535,332749
2019,10.0,Alta Valle Isarco,31562,99925
2019,10.0,Bolzano,31043,69184
2019,10.0,Burggrafenamt,182438,906204
2019,10.0,Oltradige-Bassa Ates.,63040,257195
2019,10.0,Salto-Schiliar,75630,312472
2019,10.0,Val Pusteria,106830,389068
2019,10.0,Val Venosta,46801,188120
2019,10.0,Valle Isarco,75267,274541
2019,11.0,Alta Valle Isarco,15316,40698
2019,11.0,Bolzano,22509,44721
2019,11.0,Burggrafenamt,60066,184369
2019,11.0,Oltradige-Bassa Ates.,18732,54791
2019,11.0,Salto-Schiliar,17628,52847
2019,11.0,Val Pusteria,38282,97637
2019,11.0,Val Venosta,13799,46671
2019,11.0,Valle Isarco,23638,58282
2019,12.0,Alta Valle Isarco,39767,128232
2019,12.0,Bolzano,34086,68776
2019,12.0,Burggrafenamt,85811,259923
2019,12.0,Oltradige-Bassa Ates.,26334,74498
2019,12.0,Salto-Schiliar,119580,488448
2019,12.0,Val Pusteria,231842,926411
2019,12.0,Val Venosta,32771,137244
2019,12.0,Valle Isarco,60863,199179
2020,1.0,Alta Valle Isarco,37699,140984
2020,1.0,Bolzano,21727,45734
2020,1.0,Burggrafenamt,41810,165867
2020,1.0,Oltradige-Bassa Ates.,15959,56747
2020,1.0,Salto-Schiliar,132350,724821
2020,1.0,Val Pusteria,255821,1298133
2020,1.0,Val Venosta,35010,180465
2020,1.0,Valle Isarco,58396,246604
2020,2.0,Alta Valle Isarco,44338,179031
2020,2.0,Bolzano,16934,34120
2020,2.0,Burggrafenamt,41801,159690
2020,2.0,Oltradige-Bassa Ates.,13445,51283
2020,2.0,Salto-Schiliar,163596,859365
2020,2.0,Val Pusteria,304562,1543839
2020,2.0,Val Venosta,50468,249390
2020,2.0,Valle Isarco,78105,333670
2020,3.0,Alta Valle Isarco,6559,29537
2020,3.0,Bolzano,2350,9523
2020,3.0,Burggrafenamt,7001,30574
2020,3.0,Oltradige-Bassa Ates.,2008,13504
2020,3.0,Salto-Schiliar,21377,138513
2020,3.0,Val Pusteria,42334,243795
2020,3.0,Val Venosta,7635,44578
2020,3.0,Valle Isarco,8949,43485
2020,4.0,Alta Valle Isarco,330,2759
2020,4.0,Bolzano,300,5529
2020,4.0,Burggrafenamt,298,3741
2020,4.0,Oltradige-Bassa Ates.,218,5398
2020,4.0,Salto-Schiliar,83,1565
2020,4.0,Val Pusteria,203,2941
2020,4.0,Val Venosta,131,999
2020,4.0,Valle Isarco,331,2376
2020,5.0,Alta Valle Isarco,1072,5725
2020,5.0,Bolzano,1362,8294
2020,5.0,Burggrafenamt,1745,8506
2020,5.0,Oltradige-Bassa Ates.,1634,9658
2020,5.0,Salto-Schiliar,774,2968
2020,5.0,Val Pusteria,2308,8226
2020,5.0,Val Venosta,985,3174
2020,5.0,Valle Isarco,1510,6421
2020,6.0,Alta Valle Isarco,10349,28968
2020,6.0,Bolzano,8202,20104
2020,6.0,Burggrafenamt,49676,204915
2020,6.0,Oltradige-Bassa Ates.,19052,75099
2020,6.0,Salto-Schiliar,30012,113133
2020,6.0,Val Pusteria,60144,214804
2020,6.0,Val Venosta,18513,61740
2020,6.0,Valle Isarco,19615,67069
2020,7.0,Alta Valle Isarco,38358,129244
2020,7.0,Bolzano,19371,42300
2020,7.0,Burggrafenamt,149934,761365
2020,7.0,Oltradige-Bassa Ates.,50390,234561
2020,7.0,Salto-Schiliar,121007,643400
2020,7.0,Val Pusteria,253933,1277726
2020,7.0,Val Venosta,69809,280340
2020,7.0,Valle Isarco,67375,306471
2020,8.0,Alta Valle Isarco,53922,211691
2020,8.0,Bolzano,30189,69971
2020,8.0,Burggrafenamt,230698,1134562
2020,8.0,Oltradige-Bassa Ates.,81454,368563
2020,8.0,Salto-Schiliar,181355,1009291
2020,8.0,Val Pusteria,342835,1897819
2020,8.0,Val Venosta,95666,429285
2020,8.0,Valle Isarco,106985,493550
2020,9.0,Alta Valle Isarco,33468,101262
2020,9.0,Bolzano,23581,58058
2020,9.0,Burggrafenamt,169880,869662
2020,9.0,Oltradige-Bassa Ates.,60213,278950
2020,9.0,Salto-Schiliar,95355,447048
2020,9.0,Val Pusteria,179517,766128
2020,9.0,Val Venosta,59086,233138
2020,9.0,Valle Isarco,64419,270881
2020,10.0,Alta Valle Isarco,19858,65101
2020,10.0,Bolzano,15580,39157
2020,10.0,Burggrafenamt,108303,553881
2020,10.0,Oltradige-Bassa Ates.,32196,144036
2020,10.0,Salto-Schiliar,40859,171257
2020,10.0,Val Pusteria,63659,244181
2020,10.0,Val Venosta,31201,124032
2020,10.0,Valle Isarco,43171,167095
2020,11.0,Alta Valle Isarco,1745,6725
2020,11.0,Bolzano,2711,10984
2020,11.0,Burggrafenamt,3256,18191
2020,11.0,Oltradige-Bassa Ates.,2148,16116
2020,11.0,Salto-Schiliar,1447,7615
2020,11.0,Val Pusteria,3456,17484
2020,11.0,Val Venosta,3606,16260
2020,11.0,Valle Isarco,2089,9028
2020,12.0,Alta Valle Isarco,3868,10062
2020,12.0,Bolzano,3088,11739
2020,12.0,Burggrafenamt,3419,13019
2020,12.0,Oltradige-Bassa Ates.,2240,13210
2020,12.0,Salto-Schiliar,4002,12918
2020,12.0,Val Pusteria,10826,32659
2020,12.0,Val Venosta,1525,7080
2020,12.0,Valle Isarco,3515,9442
